"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT"
"16/12/2022","16:25:00","104.335,0000","104.430,0000","104.310,0000","104.420,0000","104.710,0000"
"16/12/2022","16:20:00","104.340,0000","104.370,0000","104.280,0000","104.330,0000","104.710,0000"
"16/12/2022","16:15:00","104.330,0000","104.400,0000","104.300,0000","104.340,0000","104.710,0000"
"16/12/2022","16:10:00","104.315,0000","104.360,0000","104.240,0000","104.325,0000","104.710,0000"
"16/12/2022","16:05:00","104.405,0000","104.420,0000","104.285,0000","104.310,0000","104.710,0000"
"16/12/2022","16:00:00","104.350,0000","104.460,0000","104.340,0000","104.405,0000","104.710,0000"
"16/12/2022","15:55:00","104.350,0000","104.395,0000","104.280,0000","104.350,0000","104.710,0000"
"16/12/2022","15:50:00","104.505,0000","104.520,0000","104.290,0000","104.350,0000","104.710,0000"
"16/12/2022","15:45:00","104.525,0000","104.550,0000","104.430,0000","104.505,0000","104.710,0000"
"16/12/2022","15:40:00","104.440,0000","104.540,0000","104.405,0000","104.525,0000","104.710,0000"
"16/12/2022","15:35:00","104.410,0000","104.485,0000","104.375,0000","104.440,0000","104.710,0000"
"16/12/2022","15:30:00","104.395,0000","104.460,0000","104.335,0000","104.410,0000","104.710,0000"
"16/12/2022","15:25:00","104.340,0000","104.405,0000","104.300,0000","104.400,0000","104.710,0000"
"16/12/2022","15:20:00","104.435,0000","104.460,0000","104.285,0000","104.340,0000","104.710,0000"
"16/12/2022","15:15:00","104.425,0000","104.500,0000","104.385,0000","104.435,0000","104.710,0000"
"16/12/2022","15:10:00","104.500,0000","104.535,0000","104.360,0000","104.430,0000","104.710,0000"
"16/12/2022","15:05:00","104.345,0000","104.515,0000","104.315,0000","104.500,0000","104.710,0000"
"16/12/2022","15:00:00","104.415,0000","104.470,0000","104.325,0000","104.345,0000","104.710,0000"
"16/12/2022","14:55:00","104.360,0000","104.425,0000","104.230,0000","104.415,0000","104.710,0000"
"16/12/2022","14:50:00","104.480,0000","104.490,0000","104.345,0000","104.355,0000","104.710,0000"
"16/12/2022","14:45:00","104.370,0000","104.525,0000","104.345,0000","104.485,0000","104.710,0000"
"16/12/2022","14:40:00","104.460,0000","104.495,0000","104.365,0000","104.370,0000","104.710,0000"
"16/12/2022","14:35:00","104.550,0000","104.565,0000","104.415,0000","104.460,0000","104.710,0000"
"16/12/2022","14:30:00","104.440,0000","104.565,0000","104.405,0000","104.545,0000","104.710,0000"
"16/12/2022","14:25:00","104.395,0000","104.465,0000","104.345,0000","104.440,0000","104.710,0000"
"16/12/2022","14:20:00","104.460,0000","104.500,0000","104.345,0000","104.400,0000","104.710,0000"
"16/12/2022","14:15:00","104.185,0000","104.475,0000","104.150,0000","104.460,0000","104.710,0000"
"16/12/2022","14:10:00","104.275,0000","104.315,0000","104.110,0000","104.180,0000","104.710,0000"
"16/12/2022","14:05:00","104.495,0000","104.530,0000","104.260,0000","104.270,0000","104.710,0000"
"16/12/2022","14:00:00","104.385,0000","104.525,0000","104.380,0000","104.495,0000","104.710,0000"
"16/12/2022","13:55:00","104.435,0000","104.460,0000","104.345,0000","104.385,0000","104.710,0000"
"16/12/2022","13:50:00","104.420,0000","104.475,0000","104.345,0000","104.435,0000","104.710,0000"
"16/12/2022","13:45:00","104.480,0000","104.610,0000","104.395,0000","104.420,0000","104.710,0000"
"16/12/2022","13:40:00","104.545,0000","104.580,0000","104.415,0000","104.480,0000","104.710,0000"
"16/12/2022","13:35:00","104.645,0000","104.685,0000","104.535,0000","104.550,0000","104.710,0000"
"16/12/2022","13:30:00","104.625,0000","104.780,0000","104.595,0000","104.645,0000","104.710,0000"
"16/12/2022","13:25:00","104.520,0000","104.660,0000","104.515,0000","104.625,0000","104.710,0000"
"16/12/2022","13:20:00","104.705,0000","104.725,0000","104.495,0000","104.520,0000","104.710,0000"
"16/12/2022","13:15:00","104.665,0000","104.745,0000","104.610,0000","104.710,0000","104.710,0000"
"16/12/2022","13:10:00","104.565,0000","104.690,0000","104.445,0000","104.660,0000","104.710,0000"
"16/12/2022","13:05:00","104.475,0000","104.605,0000","104.475,0000","104.560,0000","104.710,0000"
"16/12/2022","13:00:00","104.530,0000","104.590,0000","104.375,0000","104.475,0000","104.710,0000"
"16/12/2022","12:55:00","104.475,0000","104.555,0000","104.410,0000","104.525,0000","104.710,0000"
"16/12/2022","12:50:00","104.430,0000","104.530,0000","104.385,0000","104.480,0000","104.710,0000"
"16/12/2022","12:45:00","104.410,0000","104.540,0000","104.305,0000","104.425,0000","104.710,0000"
"16/12/2022","12:40:00","104.260,0000","104.445,0000","104.260,0000","104.415,0000","104.710,0000"
"16/12/2022","12:35:00","104.230,0000","104.325,0000","104.125,0000","104.260,0000","104.710,0000"
"16/12/2022","12:30:00","104.435,0000","104.670,0000","104.205,0000","104.230,0000","104.710,0000"
"16/12/2022","12:25:00","104.455,0000","104.590,0000","104.415,0000","104.435,0000","104.710,0000"
"16/12/2022","12:20:00","104.875,0000","104.890,0000","104.445,0000","104.455,0000","104.710,0000"
"16/12/2022","12:15:00","104.745,0000","104.880,0000","104.605,0000","104.870,0000","104.710,0000"
"16/12/2022","12:10:00","104.805,0000","104.955,0000","104.660,0000","104.745,0000","104.710,0000"
"16/12/2022","12:05:00","105.010,0000","105.130,0000","104.795,0000","104.800,0000","104.710,0000"
"16/12/2022","12:00:00","105.205,0000","105.225,0000","104.910,0000","105.010,0000","104.710,0000"
"16/12/2022","11:55:00","105.245,0000","105.330,0000","105.085,0000","105.200,0000","104.710,0000"
"16/12/2022","11:50:00","105.315,0000","105.355,0000","105.050,0000","105.240,0000","104.710,0000"
"16/12/2022","11:45:00","105.030,0000","105.330,0000","104.980,0000","105.310,0000","104.710,0000"
"16/12/2022","11:40:00","104.820,0000","105.190,0000","104.765,0000","105.030,0000","104.710,0000"
"16/12/2022","11:35:00","105.185,0000","105.340,0000","104.770,0000","104.820,0000","104.710,0000"
"16/12/2022","11:30:00","104.840,0000","105.285,0000","104.795,0000","105.190,0000","104.710,0000"
"16/12/2022","11:25:00","104.685,0000","104.910,0000","104.630,0000","104.840,0000","104.710,0000"
"16/12/2022","11:20:00","104.860,0000","104.955,0000","104.500,0000","104.685,0000","104.710,0000"
"16/12/2022","11:15:00","105.010,0000","105.095,0000","104.755,0000","104.865,0000","104.710,0000"
"16/12/2022","11:10:00","105.280,0000","105.395,0000","105.000,0000","105.015,0000","104.710,0000"
"16/12/2022","11:05:00","105.305,0000","105.430,0000","105.235,0000","105.280,0000","104.710,0000"
"16/12/2022","11:00:00","105.375,0000","105.520,0000","105.290,0000","105.305,0000","104.710,0000"
"16/12/2022","10:55:00","105.355,0000","105.455,0000","105.225,0000","105.375,0000","104.710,0000"
"16/12/2022","10:50:00","105.260,0000","105.360,0000","105.230,0000","105.355,0000","104.710,0000"
"16/12/2022","10:45:00","105.240,0000","105.325,0000","105.135,0000","105.255,0000","104.710,0000"
"16/12/2022","10:40:00","105.160,0000","105.410,0000","105.095,0000","105.240,0000","104.710,0000"
"16/12/2022","10:35:00","105.530,0000","105.570,0000","105.135,0000","105.160,0000","104.710,0000"
"16/12/2022","10:30:00","105.265,0000","105.605,0000","105.230,0000","105.530,0000","104.710,0000"
"16/12/2022","10:25:00","105.525,0000","105.580,0000","105.265,0000","105.265,0000","104.710,0000"
"16/12/2022","10:20:00","105.770,0000","105.795,0000","105.465,0000","105.520,0000","104.710,0000"
"16/12/2022","10:15:00","105.825,0000","105.885,0000","105.745,0000","105.770,0000","104.710,0000"
"16/12/2022","10:10:00","105.730,0000","106.010,0000","105.660,0000","105.820,0000","104.710,0000"
"16/12/2022","10:05:00","105.625,0000","105.815,0000","105.625,0000","105.735,0000","104.710,0000"
"16/12/2022","10:00:00","105.525,0000","105.670,0000","105.515,0000","105.625,0000","104.710,0000"
"16/12/2022","09:55:00","105.355,0000","105.545,0000","105.315,0000","105.530,0000","104.710,0000"
"16/12/2022","09:50:00","105.370,0000","105.420,0000","105.260,0000","105.355,0000","104.710,0000"
"16/12/2022","09:45:00","105.510,0000","105.520,0000","105.280,0000","105.370,0000","104.710,0000"
"16/12/2022","09:40:00","105.355,0000","105.530,0000","105.335,0000","105.505,0000","104.710,0000"
"16/12/2022","09:35:00","105.195,0000","105.375,0000","105.190,0000","105.355,0000","104.710,0000"
"16/12/2022","09:30:00","105.175,0000","105.265,0000","105.135,0000","105.195,0000","104.710,0000"
"16/12/2022","09:25:00","105.055,0000","105.315,0000","105.040,0000","105.175,0000","104.710,0000"
"16/12/2022","09:20:00","105.040,0000","105.070,0000","104.920,0000","105.060,0000","104.710,0000"
"16/12/2022","09:15:00","105.135,0000","105.165,0000","104.990,0000","105.040,0000","104.710,0000"
"16/12/2022","09:10:00","105.045,0000","105.210,0000","105.025,0000","105.135,0000","104.710,0000"
"16/12/2022","09:05:00","105.125,0000","105.175,0000","104.940,0000","105.050,0000","104.710,0000"
"16/12/2022","09:00:00","105.120,0000","105.300,0000","104.850,0000","105.125,0000","104.710,0000"
"15/12/2022","18:30:00","105.850,0000","105.850,0000","105.850,0000","105.850,0000","104.710,0000"
"15/12/2022","18:20:00","105.690,0000","105.755,0000","105.665,0000","105.690,0000","104.710,0000"
"15/12/2022","18:15:00","105.705,0000","105.760,0000","105.630,0000","105.690,0000","104.710,0000"
"15/12/2022","18:10:00","105.735,0000","105.805,0000","105.685,0000","105.705,0000","104.710,0000"
"15/12/2022","18:05:00","105.790,0000","105.840,0000","105.660,0000","105.735,0000","104.710,0000"
"15/12/2022","18:00:00","105.530,0000","105.845,0000","105.490,0000","105.785,0000","104.710,0000"
"15/12/2022","17:55:00","105.635,0000","105.640,0000","105.495,0000","105.525,0000","104.710,0000"
"15/12/2022","17:50:00","105.595,0000","105.660,0000","105.550,0000","105.630,0000","104.710,0000"
"15/12/2022","17:45:00","105.515,0000","105.665,0000","105.495,0000","105.595,0000","104.710,0000"
"15/12/2022","17:40:00","105.485,0000","105.555,0000","105.405,0000","105.510,0000","104.710,0000"
"15/12/2022","17:35:00","105.970,0000","105.980,0000","105.370,0000","105.480,0000","104.710,0000"
"15/12/2022","17:30:00","106.005,0000","106.045,0000","105.880,0000","105.970,0000","104.710,0000"
"15/12/2022","17:25:00","105.965,0000","106.070,0000","105.925,0000","106.005,0000","104.710,0000"
"15/12/2022","17:20:00","105.755,0000","106.090,0000","105.730,0000","105.960,0000","104.710,0000"
"15/12/2022","17:15:00","106.330,0000","106.375,0000","105.660,0000","105.750,0000","104.710,0000"
"15/12/2022","17:10:00","106.445,0000","106.495,0000","106.275,0000","106.330,0000","104.710,0000"
"15/12/2022","17:05:00","106.355,0000","106.495,0000","106.335,0000","106.450,0000","104.710,0000"
"15/12/2022","17:00:00","106.320,0000","106.395,0000","106.255,0000","106.360,0000","104.710,0000"
"15/12/2022","16:55:00","106.230,0000","106.350,0000","106.185,0000","106.320,0000","104.710,0000"
"15/12/2022","16:50:00","106.155,0000","106.260,0000","106.085,0000","106.230,0000","104.710,0000"
"15/12/2022","16:45:00","106.290,0000","106.295,0000","106.125,0000","106.160,0000","104.710,0000"
"15/12/2022","16:40:00","106.145,0000","106.350,0000","106.100,0000","106.285,0000","104.710,0000"
"15/12/2022","16:35:00","106.160,0000","106.250,0000","106.100,0000","106.145,0000","104.710,0000"
"15/12/2022","16:30:00","106.225,0000","106.295,0000","106.045,0000","106.165,0000","104.710,0000"
"15/12/2022","16:25:00","106.150,0000","106.260,0000","105.960,0000","106.230,0000","104.710,0000"
"15/12/2022","16:20:00","106.175,0000","106.300,0000","106.135,0000","106.150,0000","104.710,0000"
"15/12/2022","16:15:00","106.145,0000","106.215,0000","106.080,0000","106.175,0000","104.710,0000"
"15/12/2022","16:10:00","106.035,0000","106.155,0000","105.990,0000","106.150,0000","104.710,0000"
"15/12/2022","16:05:00","106.030,0000","106.110,0000","105.985,0000","106.035,0000","104.710,0000"
"15/12/2022","16:00:00","106.155,0000","106.195,0000","106.015,0000","106.025,0000","104.710,0000"
"15/12/2022","15:55:00","106.190,0000","106.220,0000","106.105,0000","106.155,0000","104.710,0000"
"15/12/2022","15:50:00","106.085,0000","106.265,0000","106.060,0000","106.190,0000","104.710,0000"
"15/12/2022","15:45:00","105.745,0000","106.245,0000","105.740,0000","106.080,0000","104.710,0000"
"15/12/2022","15:40:00","105.890,0000","106.030,0000","105.690,0000","105.740,0000","104.710,0000"
"15/12/2022","15:35:00","106.255,0000","106.385,0000","105.845,0000","105.890,0000","104.710,0000"
"15/12/2022","15:30:00","106.345,0000","106.425,0000","106.205,0000","106.255,0000","104.710,0000"
"15/12/2022","15:25:00","106.485,0000","106.520,0000","106.305,0000","106.340,0000","104.710,0000"
"15/12/2022","15:20:00","106.360,0000","106.515,0000","106.280,0000","106.485,0000","104.710,0000"
"15/12/2022","15:15:00","106.480,0000","106.530,0000","106.355,0000","106.360,0000","104.710,0000"
"15/12/2022","15:10:00","106.400,0000","106.545,0000","106.395,0000","106.475,0000","104.710,0000"
"15/12/2022","15:05:00","106.485,0000","106.540,0000","106.345,0000","106.405,0000","104.710,0000"
"15/12/2022","15:00:00","106.475,0000","106.590,0000","106.355,0000","106.490,0000","104.710,0000"
"15/12/2022","14:55:00","106.365,0000","106.510,0000","106.325,0000","106.475,0000","104.710,0000"
"15/12/2022","14:50:00","106.295,0000","106.475,0000","106.285,0000","106.365,0000","104.710,0000"
"15/12/2022","14:45:00","106.515,0000","106.530,0000","106.285,0000","106.290,0000","104.710,0000"
"15/12/2022","14:40:00","106.670,0000","106.675,0000","106.440,0000","106.510,0000","104.710,0000"
"15/12/2022","14:35:00","106.905,0000","106.930,0000","106.665,0000","106.675,0000","104.710,0000"
"15/12/2022","14:30:00","106.900,0000","107.220,0000","106.855,0000","106.905,0000","104.710,0000"
"15/12/2022","14:25:00","106.630,0000","106.910,0000","106.585,0000","106.900,0000","104.710,0000"
"15/12/2022","14:20:00","106.495,0000","106.950,0000","106.400,0000","106.630,0000","104.710,0000"
"15/12/2022","14:15:00","106.035,0000","106.755,0000","106.025,0000","106.500,0000","104.710,0000"
"15/12/2022","14:10:00","105.870,0000","106.075,0000","105.805,0000","106.030,0000","104.710,0000"
"15/12/2022","14:05:00","105.835,0000","105.925,0000","105.770,0000","105.870,0000","104.710,0000"
"15/12/2022","14:00:00","105.775,0000","105.920,0000","105.755,0000","105.830,0000","104.710,0000"
"15/12/2022","13:55:00","105.710,0000","105.825,0000","105.705,0000","105.780,0000","104.710,0000"
"15/12/2022","13:50:00","105.675,0000","105.825,0000","105.665,0000","105.710,0000","104.710,0000"
"15/12/2022","13:45:00","105.785,0000","105.875,0000","105.650,0000","105.680,0000","104.710,0000"
"15/12/2022","13:40:00","105.755,0000","105.835,0000","105.710,0000","105.785,0000","104.710,0000"
"15/12/2022","13:35:00","105.835,0000","105.865,0000","105.680,0000","105.755,0000","104.710,0000"
"15/12/2022","13:30:00","105.795,0000","105.850,0000","105.705,0000","105.835,0000","104.710,0000"
"15/12/2022","13:25:00","105.820,0000","105.865,0000","105.700,0000","105.790,0000","104.710,0000"
"15/12/2022","13:20:00","105.855,0000","105.870,0000","105.710,0000","105.815,0000","104.710,0000"
"15/12/2022","13:15:00","105.645,0000","105.900,0000","105.580,0000","105.855,0000","104.710,0000"
"15/12/2022","13:10:00","105.785,0000","105.835,0000","105.600,0000","105.645,0000","104.710,0000"
"15/12/2022","13:05:00","105.865,0000","105.910,0000","105.755,0000","105.780,0000","104.710,0000"
"15/12/2022","13:00:00","105.945,0000","105.970,0000","105.800,0000","105.865,0000","104.710,0000"
"15/12/2022","12:55:00","105.665,0000","105.960,0000","105.625,0000","105.945,0000","104.710,0000"
"15/12/2022","12:50:00","105.675,0000","105.800,0000","105.510,0000","105.670,0000","104.710,0000"
"15/12/2022","12:45:00","105.885,0000","105.895,0000","105.630,0000","105.675,0000","104.710,0000"
"15/12/2022","12:40:00","105.940,0000","105.970,0000","105.815,0000","105.890,0000","104.710,0000"
"15/12/2022","12:35:00","105.665,0000","105.985,0000","105.605,0000","105.945,0000","104.710,0000"
"15/12/2022","12:30:00","105.975,0000","105.980,0000","105.425,0000","105.665,0000","104.710,0000"
"15/12/2022","12:25:00","105.945,0000","106.125,0000","105.940,0000","105.970,0000","104.710,0000"
"15/12/2022","12:20:00","106.575,0000","106.705,0000","105.925,0000","105.950,0000","104.710,0000"
"15/12/2022","12:15:00","106.515,0000","106.660,0000","106.295,0000","106.575,0000","104.710,0000"
"15/12/2022","12:10:00","106.730,0000","106.730,0000","106.455,0000","106.515,0000","104.710,0000"
"15/12/2022","12:05:00","106.650,0000","106.775,0000","106.555,0000","106.725,0000","104.710,0000"
"15/12/2022","12:00:00","106.990,0000","107.020,0000","106.585,0000","106.650,0000","104.710,0000"
"15/12/2022","11:55:00","107.420,0000","107.470,0000","106.935,0000","106.985,0000","104.710,0000"
"15/12/2022","11:50:00","107.440,0000","107.630,0000","107.360,0000","107.420,0000","104.710,0000"
"15/12/2022","11:45:00","107.165,0000","107.585,0000","107.165,0000","107.435,0000","104.710,0000"
"15/12/2022","11:40:00","107.090,0000","107.185,0000","106.910,0000","107.165,0000","104.710,0000"
"15/12/2022","11:35:00","106.940,0000","107.145,0000","106.810,0000","107.090,0000","104.710,0000"
"15/12/2022","11:30:00","106.450,0000","106.995,0000","106.450,0000","106.935,0000","104.710,0000"
"15/12/2022","11:25:00","106.585,0000","106.615,0000","106.335,0000","106.450,0000","104.710,0000"
"15/12/2022","11:20:00","106.250,0000","106.675,0000","106.205,0000","106.580,0000","104.710,0000"
"15/12/2022","11:15:00","106.145,0000","106.310,0000","106.055,0000","106.245,0000","104.710,0000"
"15/12/2022","11:10:00","106.285,0000","106.325,0000","106.130,0000","106.150,0000","104.710,0000"
"15/12/2022","11:05:00","106.045,0000","106.345,0000","106.000,0000","106.290,0000","104.710,0000"
"15/12/2022","11:00:00","106.090,0000","106.130,0000","105.880,0000","106.045,0000","104.710,0000"
"15/12/2022","10:55:00","106.110,0000","106.255,0000","105.945,0000","106.090,0000","104.710,0000"
"15/12/2022","10:50:00","106.115,0000","106.210,0000","105.960,0000","106.110,0000","104.710,0000"
"15/12/2022","10:45:00","106.605,0000","106.625,0000","106.105,0000","106.115,0000","104.710,0000"
"15/12/2022","10:40:00","106.105,0000","106.650,0000","106.090,0000","106.610,0000","104.710,0000"
"15/12/2022","10:35:00","105.685,0000","106.125,0000","105.585,0000","106.105,0000","104.710,0000"
"15/12/2022","10:30:00","105.295,0000","105.770,0000","105.285,0000","105.690,0000","104.710,0000"
"15/12/2022","10:25:00","105.135,0000","105.430,0000","104.980,0000","105.300,0000","104.710,0000"
"15/12/2022","10:20:00","105.150,0000","105.180,0000","104.950,0000","105.135,0000","104.710,0000"
"15/12/2022","10:15:00","105.005,0000","105.180,0000","104.890,0000","105.145,0000","104.710,0000"
"15/12/2022","10:10:00","105.075,0000","105.210,0000","104.905,0000","105.010,0000","104.710,0000"
"15/12/2022","10:05:00","104.915,0000","105.095,0000","104.850,0000","105.070,0000","104.710,0000"
"15/12/2022","10:00:00","105.080,0000","105.135,0000","104.885,0000","104.920,0000","104.710,0000"
"15/12/2022","09:55:00","105.250,0000","105.265,0000","105.035,0000","105.075,0000","104.710,0000"
"15/12/2022","09:50:00","105.305,0000","105.325,0000","105.080,0000","105.250,0000","104.710,0000"
"15/12/2022","09:45:00","105.145,0000","105.330,0000","105.125,0000","105.310,0000","104.710,0000"
"15/12/2022","09:40:00","105.155,0000","105.240,0000","105.090,0000","105.150,0000","104.710,0000"
"15/12/2022","09:35:00","105.085,0000","105.160,0000","105.005,0000","105.160,0000","104.710,0000"
"15/12/2022","09:30:00","105.000,0000","105.100,0000","104.980,0000","105.080,0000","104.710,0000"
"15/12/2022","09:25:00","104.960,0000","105.030,0000","104.830,0000","105.000,0000","104.710,0000"
"15/12/2022","09:20:00","105.005,0000","105.055,0000","104.885,0000","104.960,0000","104.710,0000"
"15/12/2022","09:15:00","104.955,0000","105.055,0000","104.885,0000","105.000,0000","104.710,0000"
"15/12/2022","09:10:00","105.050,0000","105.135,0000","104.935,0000","104.950,0000","104.710,0000"
"15/12/2022","09:05:00","104.775,0000","105.055,0000","104.700,0000","105.050,0000","104.710,0000"
"15/12/2022","09:00:00","105.030,0000","105.310,0000","104.770,0000","104.780,0000","104.710,0000"
"14/12/2022","18:30:00","105.660,0000","105.660,0000","105.660,0000","105.660,0000","104.710,0000"
"14/12/2022","18:20:00","106.005,0000","106.045,0000","105.770,0000","105.850,0000","104.710,0000"
"14/12/2022","18:15:00","105.990,0000","106.090,0000","105.910,0000","106.000,0000","104.710,0000"
"14/12/2022","18:10:00","105.925,0000","106.100,0000","105.815,0000","105.990,0000","104.710,0000"
"14/12/2022","18:05:00","105.525,0000","106.195,0000","105.505,0000","105.925,0000","104.710,0000"
"14/12/2022","18:00:00","105.530,0000","105.680,0000","105.465,0000","105.530,0000","104.710,0000"
"14/12/2022","17:55:00","105.715,0000","105.715,0000","105.480,0000","105.530,0000","104.710,0000"
"14/12/2022","17:50:00","105.905,0000","105.950,0000","105.685,0000","105.720,0000","104.710,0000"
"14/12/2022","17:45:00","106.030,0000","106.070,0000","105.885,0000","105.905,0000","104.710,0000"
"14/12/2022","17:40:00","105.905,0000","106.055,0000","105.820,0000","106.035,0000","104.710,0000"
"14/12/2022","17:35:00","105.840,0000","105.955,0000","105.780,0000","105.900,0000","104.710,0000"
"14/12/2022","17:30:00","105.885,0000","105.920,0000","105.730,0000","105.840,0000","104.710,0000"
"14/12/2022","17:25:00","106.140,0000","106.160,0000","105.865,0000","105.885,0000","104.710,0000"
"14/12/2022","17:20:00","106.200,0000","106.235,0000","105.965,0000","106.135,0000","104.710,0000"
"14/12/2022","17:15:00","106.390,0000","106.400,0000","106.015,0000","106.200,0000","104.710,0000"
"14/12/2022","17:10:00","106.230,0000","106.525,0000","106.165,0000","106.390,0000","104.710,0000"
"14/12/2022","17:05:00","106.110,0000","106.255,0000","106.005,0000","106.230,0000","104.710,0000"
"14/12/2022","17:00:00","105.770,0000","106.185,0000","105.745,0000","106.110,0000","104.710,0000"
"14/12/2022","16:55:00","105.745,0000","105.900,0000","105.625,0000","105.765,0000","104.710,0000"
"14/12/2022","16:50:00","105.655,0000","105.800,0000","105.550,0000","105.745,0000","104.710,0000"
"14/12/2022","16:45:00","105.725,0000","105.875,0000","105.400,0000","105.655,0000","104.710,0000"
"14/12/2022","16:40:00","105.500,0000","105.875,0000","105.215,0000","105.730,0000","104.710,0000"
"14/12/2022","16:35:00","105.340,0000","105.585,0000","105.170,0000","105.505,0000","104.710,0000"
"14/12/2022","16:30:00","105.680,0000","105.930,0000","105.265,0000","105.340,0000","104.710,0000"
"14/12/2022","16:25:00","105.535,0000","105.690,0000","105.325,0000","105.680,0000","104.710,0000"
"14/12/2022","16:20:00","105.565,0000","105.650,0000","105.400,0000","105.535,0000","104.710,0000"
"14/12/2022","16:15:00","105.300,0000","105.615,0000","105.115,0000","105.560,0000","104.710,0000"
"14/12/2022","16:10:00","105.135,0000","105.390,0000","104.985,0000","105.300,0000","104.710,0000"
"14/12/2022","16:05:00","105.350,0000","105.370,0000","104.950,0000","105.135,0000","104.710,0000"
"14/12/2022","16:00:00","105.480,0000","105.505,0000","104.920,0000","105.350,0000","104.710,0000"
"14/12/2022","15:55:00","105.440,0000","105.645,0000","105.280,0000","105.485,0000","104.710,0000"
"14/12/2022","15:50:00","105.345,0000","105.670,0000","105.115,0000","105.435,0000","104.710,0000"
"14/12/2022","15:45:00","105.100,0000","105.480,0000","105.055,0000","105.350,0000","104.710,0000"
"14/12/2022","15:40:00","105.260,0000","105.270,0000","105.070,0000","105.105,0000","104.710,0000"
"14/12/2022","15:35:00","105.315,0000","105.495,0000","105.010,0000","105.260,0000","104.710,0000"
"14/12/2022","15:30:00","105.530,0000","105.675,0000","105.310,0000","105.315,0000","104.710,0000"
"14/12/2022","15:25:00","105.560,0000","105.765,0000","105.480,0000","105.530,0000","104.710,0000"
"14/12/2022","15:20:00","105.590,0000","105.650,0000","105.360,0000","105.565,0000","104.710,0000"
"14/12/2022","15:15:00","105.250,0000","105.640,0000","105.215,0000","105.590,0000","104.710,0000"
"14/12/2022","15:10:00","105.100,0000","105.300,0000","104.970,0000","105.255,0000","104.710,0000"
"14/12/2022","15:05:00","105.050,0000","105.325,0000","105.015,0000","105.105,0000","104.710,0000"
"14/12/2022","15:00:00","104.930,0000","105.095,0000","104.790,0000","105.055,0000","104.710,0000"
"14/12/2022","14:55:00","104.355,0000","105.065,0000","104.350,0000","104.925,0000","104.710,0000"
"14/12/2022","14:50:00","104.255,0000","104.400,0000","104.240,0000","104.355,0000","104.710,0000"
"14/12/2022","14:45:00","104.195,0000","104.275,0000","104.065,0000","104.260,0000","104.710,0000"
"14/12/2022","14:40:00","104.165,0000","104.245,0000","104.055,0000","104.195,0000","104.710,0000"
"14/12/2022","14:35:00","104.305,0000","104.320,0000","104.140,0000","104.165,0000","104.710,0000"
"14/12/2022","14:30:00","104.280,0000","104.325,0000","104.190,0000","104.305,0000","104.710,0000"
"14/12/2022","14:25:00","104.270,0000","104.365,0000","104.200,0000","104.280,0000","104.710,0000"
"14/12/2022","14:20:00","104.295,0000","104.325,0000","104.205,0000","104.270,0000","104.710,0000"
